,text
29,"RT @ReneeANDSharon: A Great resource for Benefits for Disaster Relief, Unexployment Assistance &amp; More ALSO help for #HurricaneFlorence2018 #HurricaneFlorence #assistance #help #reliefinformation #floodingassistance https://t.co/NvKREL29w4"
30,"RT @RStradling: Nearly two weeks after #HurricaneFlorence2018, hundreds of roads still closed in #NorthCarolina. @NCDOT https://t.co/vRd1y9bX9z"
31,"A Great resource for Benefits for Disaster Relief, Unexployment Assistance &amp; More ALSO help for #HurricaneFlorence2018 #HurricaneFlorence #assistance #help #reliefinformation #floodingassistance https://t.co/NvKREL29w4"
32,"RT @americanrivers: Despite a lack of national news coverage, the situation in the Carolinas is only getting worse for many. #HurricaneFlorence2018 #Florence https://t.co/PeTLgVUfpF 
📷@NASA https://t.co/bK878NZ3d9"
33,"RT @RStradling: Nearly two weeks after #HurricaneFlorence2018, hundreds of roads still closed in #NorthCarolina. @NCDOT https://t.co/vRd1y9bX9z"
34,"RT @RStradling: Nearly two weeks after #HurricaneFlorence2018, hundreds of roads still closed in #NorthCarolina. @NCDOT https://t.co/vRd1y9bX9z"
35,"RT @RStradling: Nearly two weeks after #HurricaneFlorence2018, hundreds of roads still closed in #NorthCarolina. @NCDOT https://t.co/vRd1y9bX9z"
36,"RT @RStradling: Nearly two weeks after #HurricaneFlorence2018, hundreds of roads still closed in #NorthCarolina. @NCDOT https://t.co/vRd1y9bX9z"
37,#HurricaneFlorence2018 brought flooding and power outages to thousands of homes. Learn more about  post-hurricane recovery resources and safety guidelines from @disastersafety. Share these with your friends and family impacted by the storm: https://t.co/HgmvxnGWNj
38,Habitat for Humanity Disaster Response #VOLUNTEER #SUPPORT #DONATE for Hurricane Florence Gorden Helene Isaac #HurricaneFlorence2018 #hurricaneisaac #disasterrelief #florence https://t.co/Z97GbF5rP6
39,"Nearly two weeks after #HurricaneFlorence2018, hundreds of roads still closed in #NorthCarolina. @NCDOT https://t.co/vRd1y9bX9z"
40,RT @ReneeANDSharon: Get assistance after Hurricane Florence Apply Online Today #disasterelief #oragnizations #flooding #hurricane https://t.co/GVefJNtF6X #HurricaneFlorence2018
41,Get assistance after Hurricane Florence Apply Online Today #disasterelief #oragnizations #flooding #hurricane https://t.co/GVefJNtF6X #HurricaneFlorence2018
42,"RT @americanrivers: Despite a lack of national news coverage, the situation in the Carolinas is only getting worse for many. #HurricaneFlorence2018 #Florence https://t.co/PeTLgVUfpF 
📷@NASA https://t.co/bK878NZ3d9"
43,"RT @americanrivers: Despite a lack of national news coverage, the situation in the Carolinas is only getting worse for many. #HurricaneFlorence2018 #Florence https://t.co/PeTLgVUfpF 
📷@NASA https://t.co/bK878NZ3d9"
44,"Despite a lack of national news coverage, the situation in the Carolinas is only getting worse for many. #HurricaneFlorence2018 #Florence https://t.co/PeTLgVUfpF 
📷@NASA https://t.co/bK878NZ3d9"
45,"RT @mikeshinoda: A note on #HurricaneFlorence2018–the long road to recovery has just begun. Join @musicforrelief &amp; @eifoundation to help people, animals and communities in the #Carolinas https://t.co/pPruapyDzn"
46,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
47,"RT @_andrewcarter: Meet Robert Simmons. Was stuck in his house since last night, when floodwaters began to rise in New Bern. A boat came and rescued him just now. He was sad to leave his father but left with his kitten hugging his neck. Cat’s name: Survivor, Simmons said. #HurricaneFlorence2018 https://t.co/vRR3lANDJe"
48,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
49,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
50,"#innovation #data #branding - US adopts ""Waffle House Index"" to measure severity of impact of #HurricaneFlorence2018 on #community https://t.co/M5CfKkMuIQ"
51,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
52,"How to Help Hurricane Florence Recovery Efforts 

#HELP #HurricaneFlorence2018 #CarolinaStrong 

https://t.co/gLFZf34TVv https://t.co/XlFHNlVZGW"
53,"Friendly reminder for our #NorthCarolina #Pet Parents! We will be at our Wilmington store this Saturday to pass out donated pet #food, treats and #supplies for those effected by #HurricaneFlorence.  Help us spread the word! #hurricanerelief #CarolinaStrong #HurricaneFlorence2018 https://t.co/i2QVXg2FHw"
54,"RT @FOURPAWSUSA: Although it’s been 2 weeks since #HurricaneFlorence2018 reeked havoc in the U.S., flooding is an ongoing, critical threat. Our Disaster Relief Unit is deployed to help affected areas recover. Support our ongoing relief efforts https://t.co/XYsKg9tEQy https://t.co/Bh8l392FnR"
55,RT @_andrewcarter: I’ll never forget what I saw today in Kinston for as long as I live — people rescuing dogs down a flooded country road south of town. It was hard not to be emotional. Here’s hoping this guy is OK tonight. #HurricaneFlorence2018 https://t.co/TzpB14X05b
56,RT @newsobserver: They heard their cries and couldn’t walk away so they helped save 18 dogs in Kinston https://t.co/Iw4HY5BfVX #hurricaneflorence2018 https://t.co/OjtQcbIgVA
57,"RT @zdaniel: Can confirm that Jacksonville, NC is a disaster basically surrounded by water/cut roads. We’re stranded,couldn’t move in any direction. Still raining. #HurricaneFlorence2018 https://t.co/ipFWKqoIy9"
58,RT @wearethepit: #HurricaneFlorence2018? No Problem... 🤘😂 @Slayer https://t.co/Nq6XxXxUfe
59,"RT @almuariza: ¿Primer mundo? Falta total de previsión. Cuarto día sin gasolina ni dónde comprar alimentos. 
La gente está desesperada. Hacemos cola desde hace horas pero nadie nos garantiza que podamos llenar el depósito hoy. 
#HurricaneFlorence2018 
#Jacksonville https://t.co/37Pg2XyVHZ"
60,"RT @mikeshinoda: A note on #HurricaneFlorence2018–the long road to recovery has just begun. Join @musicforrelief &amp; @eifoundation to help people, animals and communities in the #Carolinas https://t.co/pPruapyDzn"
61,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
62,RT @ucfoodietv: Don't let Florence keep you away from the Carolinas.  Restaurants open and so are golf course.  We played Farmstead Golf Links in Perfect Condition.  https://t.co/ufaOvCtHQA #HurricaneFlorence2018 #FarmsteadGolfLinks  #CarolinaStrong #CalabashNC
63,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
64,"Join @ftjfundchoice and the @RedCross in support of those impacted by #HurricaneFlorence2018. We are matching $10,000 in donations. Follow the link to double your contribution. https://t.co/Fi5I9Oi3dm
#giveback https://t.co/4TL3Fts8y3"
65,RT @adamzyglis: Flushing the evidence... #POTUS #HurricaneFlorence2018 #HurricaneMaria #PuertoRicoDeathToll #climatechange #science #Trump @TheBuffaloNews https://t.co/EfnK9yFnkC https://t.co/e7BmeGCpZU
66,For ways to donate to #HurricaneFlorence #HurricaneFlorence2018 please check out this link. https://t.co/fCjLhY4PM3
67,"RT @FOURPAWSUSA: Although it’s been 2 weeks since #HurricaneFlorence2018 reeked havoc in the U.S., flooding is an ongoing, critical threat. Our Disaster Relief Unit is deployed to help affected areas recover. Support our ongoing relief efforts https://t.co/XYsKg9tEQy https://t.co/Bh8l392FnR"
68,"RT @USMC: Marines from @camp_lejeune and @iimefmarines continue to assist rescue operations following #HurricanFlorence  

This morning, they extracted ~20 civilians threatened by rising flood waters

More: https://t.co/CKKoWrwHpE

#HurricaneFlorence2018 #nobetterfriend #KnowYourMil https://t.co/6SaiCu4ylk"
69,@Ask_Spectrum Day14 post #HurricaneFlorence2018. Power has been on over a week now. Saw several Spectrum trucks at a local vehicle service shop. Only 1 seen in my neighborhood. Still #noservice
70,"RT @InfinitiIT: Latest forecasts indicate Hurricane Florence is now a Category 2 but the storm carries the likelihood of ""life-threatening storm surge and rainfall"" #Hurricane #Florence #HurricaneFlorence2018 #HurricanceFlorence #Trending #HurricaneFlorerence #Twittertrending #Storm #Hurricane https://t.co/yMflxoCjlG"
71,"RT @InfinitiIT: Latest forecasts indicate Hurricane Florence is now a Category 2 but the storm carries the likelihood of ""life-threatening storm surge and rainfall"" #Hurricane #Florence #HurricaneFlorence2018 #HurricanceFlorence #Trending #HurricaneFlorerence #Twittertrending #Storm #Hurricane https://t.co/yMflxoCjlG"
72,RT @InfinitiIT: Hurricane Florence is now 235 miles from the NC coast! Stay Safe #HurricaneFlorence2018 #HurricanceFlorence #HurricaneFlorence #Infiniti #Infinitiit #Infinitidatacentres #Infinitidatacenters #Storm #America #Americastorm #Nasa #Americahurricane https://t.co/Oub89HRtuC
73,"FALSE.

It was the minority. Did you forget?

https://t.co/EFibtfVvxN
#ncga #ncpol #hurricaneflorence2018 #ncgov https://t.co/N0h38SIaKy"
74,"RT @CatholicNurses: Call to #prayer for those affected by #HurricaneFlorence2018.  NACN-USA: https://t.co/3Ucxu8K6Ji 

@RaleighDiocese @CatholicNewsCLT @DioceseChas https://t.co/dCMMk77637"
75,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
76,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
77,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
78,RT @amyrbrown12_amy: Why must NEIGHBORS continue to live in fear every time it rains #coalash #coalashneighbors #HurricaneFlorence2018 https://t.co/BeADeFZmKL
79,"Although it’s been 2 weeks since #HurricaneFlorence2018 reeked havoc in the U.S., flooding is an ongoing, critical threat. Our Disaster Relief Unit is deployed to help affected areas recover. Support our ongoing relief efforts https://t.co/XYsKg9tEQy https://t.co/Bh8l392FnR"
80,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
81,RT @RealGeoEngWatch: Geoengineering Microwave Transmissions And Their Connection To Hurricane Florence - https://t.co/2BLZFcikmo #HurricaneFlorence2018
82,RT @lhspirates: Photos from 1st day back. #Pirates #PirateNation #HurricaneFlorence2018 #Lumbertonstrong https://t.co/LOOvXCoNTi https://t.co/DCQlRlhrnx
83,"The owner of this bar in #GoldsboroNC didn't think a 500-year flood would happen again in his lifetime. #HurricaneFlorence2018 #NeuseRiver 
https://t.co/X6m9GAbidN"
84,Our newest recruits that care about our customers as much as we do ! #allstate #HurricaneFlorence2018 @Allstatecares https://t.co/0XwDBj2FJC
85,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
86,"In case you want to help out with the flooding in the Carolinas...
#HurricaneFlorence #HurricaneFlorence2018 #Relief 

https://t.co/aNUOFPLzR0"
87,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
88,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
89,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
90,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
91,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
92,"RT @WSWS_Updates: Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
93,"Eleven days after Hurricane Florence made landfall, floodwaters engulfing coal ash deposits and pig farms are spreading toxic ash and pig manure in waterways and polluting sources of drinking water. https://t.co/vQS1Uq0BM5 #HurricaneFlorence #HurricaneFlorence2018 https://t.co/5CJED8VA0e"
94,"RT @jetfitness247: HELP JET, HELP NC!  @jetfitness247 will be collecting donations for the next two weeks.  #OneCarolina #HurricaneFlorence2018 #bstrong https://t.co/7tL4I99A9m"
95,"HELP JET, HELP NC!  @jetfitness247 will be collecting donations for the next two weeks.  #OneCarolina #HurricaneFlorence2018 #bstrong https://t.co/7tL4I99A9m"
96,RT @claudeforthomme: So useful: An app to predict where hurricanes go! It helped for #HurricaneFlorence2018. Find the best #Apps here:  @impakterdotcom https://t.co/nKsFyDXDdW https://t.co/woRz8XfLvq
97,"RT @ScrollsofHope: Sending a Plaque of #Appreciation to @AlsupTony Tony Alsup , a true #hero.

Story Link: https://t.co/lAEOjN6Q6Q 

Send us your #heroes at the Good Scrolls Gazette

#DogsofTwittter #AllLivesMatter #animalrescue #HurricaneFlorence #HurricaneFlorence2018 #SavingLives #CatsOfTwitter https://t.co/gr6H60veus"
98,RT @amyrbrown12_amy: Why must NEIGHBORS continue to live in fear every time it rains #coalash #coalashneighbors #HurricaneFlorence2018 https://t.co/BeADeFZmKL
99,Thank you to all of the generous people who donated. It is amazing to see people helping their communities and beyond.  @uncwchhs @UNCWilmington #brunswick #HurricaneFlorence2018 #oceanislebeach https://t.co/PALYKOBoly
100,"Sending a Plaque of #Appreciation to @AlsupTony Tony Alsup , a true #hero.

Story Link: https://t.co/lAEOjN6Q6Q 

Send us your #heroes at the Good Scrolls Gazette

#DogsofTwittter #AllLivesMatter #animalrescue #HurricaneFlorence #HurricaneFlorence2018 #SavingLives #CatsOfTwitter https://t.co/gr6H60veus"
101,"RT @_andrewcarter: Incredible scene here now outside of Kinston, where several people are rescuing dogs from a flooded kennel. Really powerful, emotional scene. #HurricaneFlorence2018 https://t.co/sWlytrNsmQ"
102,"The @NRnews_NC demonstrates the importance of #ReadLocal, with a breathtaking view from ground zero of #HurricaneFlorence2018

""On Our Own From The Start"" https://t.co/xGh7PlsrXo

As Raleigh preps to obsess over political semantics next week, damages still being assessed #ncpol"
103,RT @Mycroft_Masada: .@NAAFA_Official can help you help #HurricaneFlorence survivors w/ plus-size clothing - https://t.co/TzWU01jBgu! #HurricaneFlorence2018 #NAAFA #fatpride #fatjustice #fatliberation #fatacceptance #fatcommunity #fatactivism https://t.co/VVMuFLQV7w
104,RT @RCFireRescue: The team is back! @LTWWoodworking Matthew Lupo shares some of their South Carolina experiences with @Linds_NanceWSMV  #HurricaneFlorence2018 https://t.co/Yb3OX2uZtz
105,"RT @GastoniaCap: DISASTER PREPAREDNESS IS IN OUR DNA

Gastonia Composite Squadron sent over 15 members (roughly 1/3 of our members with more than 3 months experience) to assist with relief efforts from #HurricaneFlorence2018.

https://t.co/vjkwg1Am6n https://t.co/jtMLDr3NDN"
106,"DISASTER PREPAREDNESS IS IN OUR DNA

Gastonia Composite Squadron sent over 15 members (roughly 1/3 of our members with more than 3 months experience) to assist with relief efforts from #HurricaneFlorence2018.

https://t.co/vjkwg1Am6n https://t.co/jtMLDr3NDN"
107,RT @ucfoodietv: Don't let Florence keep you away from the Carolinas.  Restaurants open and so are golf course.  We played Farmstead Golf Links in Perfect Condition.  https://t.co/ufaOvCtHQA #HurricaneFlorence2018 #FarmsteadGolfLinks  #CarolinaStrong #CalabashNC
108,"RT @jmcappiello: If this doesn’t make you sick to your stomach, consider this: While factory farmers flee #HurricaneFlorence2018 with their companion animals, thousands of farmed animals will most likely drown in cages and crates unable to escape rushing floodwaters. https://t.co/LPdaVFQmEh"
109,"what? it's wednesday and you still haven't seen episode 3 of #TheSongLounge??? lemme help you with that - https://t.co/1JPbfUaNSe oh, i filmed this outside as #HurricaneFlorence2018 was making landfall a couple hundred miles away... #Subscribe #RT"
110,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
111,RT @TheRealOtisFuzz: Yaaaaaaaay too the peepul who helped this laydee and doggys!! #HurricaneFlorence2018 https://t.co/EPfuBty2Z7
112,"RT @newsobserver: Meet Robert Simmons. He escaped his neighborhood with his kitten hugging his neck. Here's the story behind this photo.

https://t.co/1glAFEQVl2

#HurricaneFlorence #hurricaneflorence2018 
#kitten https://t.co/nkTC3uIFdc"
113,RT @kyledunnigan: #HurricaneFlorence2018 #HurricaneFlorenceNC #HurricaneFlorence #signlanguage #fakenews https://t.co/P1yKTqXk6s
114,RT @WillsMaxwell: I’m excited to share the stage with my former bandleader @ddsluggers this Thursday! Come on out as we raise money for #HurricaneFlorence2018 relief with @LeslieCohenNC20 https://t.co/ViCpsWRTQ3
115,RT @FOURPAWSUSA: Update #HurricaneFlorence2018 Our 1st donation drop off was delivered to Grand Strand Humane Society! They have 50 dogs and 80 cats in their shelter &amp; 40 dogs and 100 cats in foster care. Please support our on- going disaster relief mission https://t.co/XYsKg9c3rY https://t.co/pinHPoF8dk
116,"RT @DCnewsvideo: #HurricanceFlorence #HurricaneFlorence2018 This Havelock, NC neighborhood has a long recovery process awaiting it! https://t.co/zIEJ1Qt8ka"
117,RT @RealGeoEngWatch: Geoengineering Microwave Transmissions And Their Connection To Hurricane Florence - https://t.co/2BLZFcikmo #HurricaneFlorence2018
118,"🙏ing for the Carolina coast!
❤😢

#PawleysIsland 
#GeorgetownSC
#HurricaneFlorence2018"
119,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
120,"RT @ForbesME: FAA OKs Long-Range Drone Flights Over Populated Areas By State Farm To Assess Florence Damage
https://t.co/kFtBgxtK5K
#FAA #Florence #drone #HurricaneFlorence2018 #state #farm #Damage #aviation https://t.co/rWvMunVCgA"
121,RT @ucfoodietv: Don't let Florence keep you away from the Carolinas.  Restaurants open and so are golf course.  We played Farmstead Golf Links in Perfect Condition.  https://t.co/ufaOvCtHQA #HurricaneFlorence2018 #FarmsteadGolfLinks  #CarolinaStrong #CalabashNC
122,Flushing their filth into the ocean... #HurricaneFlorence2018 https://t.co/aFVhXFRxiN
123,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
124,"RT @brandilmelb: Watching home flood under 3 feet of water after Florence was 'gut-wrenching,' family says
it's been12 days since Hurricane Florence first barreled through the Carolinas, but the devastating floods are far from over. #HurricaneFlorence  #HurricaneFlorence2018 https://t.co/svhX5KpQOA"
125,"Watching home flood under 3 feet of water after Florence was 'gut-wrenching,' family says
it's been12 days since Hurricane Florence first barreled through the Carolinas, but the devastating floods are far from over. #HurricaneFlorence  #HurricaneFlorence2018 https://t.co/svhX5KpQOA"
126,"@ChoiceHotels can i trade my rewards points for a bulk of room soaps, shampoos and conditioners? I'm DEAD SERIOUS. Our area was devastated by #HurricaneFlorence2018 &amp; we are trying to help our community with much needed hygeine products. Please reach out to me! Thank you!"
